title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
For sale: Joint Venture Development Lekki Phase 1,Land,Lekki Phase 1 Lagos,"₦1,200,000,000",,,,28 Nov 2025,18 Feb 2026
For sale: Approximately 1100 Sqm Land With Structure,Land,Lekki Phase 1 Lagos,"₦1,500,000,000",,,,26 Sep 2025,18 Feb 2026
For sale: Distinguished 5 Bedroom Detached Duplex With Swimming Pool & Bq,House,Victoria Garden City Lekki Lagos,"₦350,000,000",5,,,18 Jan 2026,18 Feb 2026
For sale: Luxurious 5 Beds Detached Duplex,House,Ikate Lekki Lekki Lagos,"₦420,000,000",5,,,18 Dec 2025,18 Feb 2026
For sale: 4 Bedroom Fully Detached Duplex In Ologolo Lekki,House,Ologolo Lekki Lagos,"₦280,000,000",4,4,5,25 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Maisonette With Swimming Pool,House,Wuye Abuja Phase 2,"₦750,000,000",4,4,5,04 Jan 2026,18 Feb 2026
For sale: Massive 6 Bedroom Detached Duplex With Elevator,House,Market Square Kado Abuja Phase 2,"₦1,000,000,000",5,5,6,08 Oct 2025,18 Feb 2026
For sale: Exquisite Lekki Phase 1 5units Of 5 Bedrooms Fully Detached Duplex For Sale*🔌,House,Lekki Enclave Estate By Earl Court Nike Art Gallery Lekki Phase 1 Right Lekki Phase 1 Lagos,"₦820,000,000",5,,,04 Nov 2025,18 Feb 2026
For sale: Don’t Miss This Exquisite Buy And Build Plots Of Lands,Land,Title Governors Consent Back Of The Biggest Shoprite In Nigeria Sangotedo Ajah Lagos,"₦90,000,000",,,,25 Jul 2024,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator + Swimming Pool,House,Pinnock Beach Estate Osapa London Lekki Lagos,"₦1,600,000,000",5,5,6,21 May 2024,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Victory Park Estate Osapa London Lekki Lagos,"₦600,000,000",5,5,6,31 Jan 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Semi Detached Duplex,House,Idu By Turkish Hospital Karmo Abuja Phase 3,"₦250,000,000",5,5,6,14 Dec 2024,18 Feb 2026
For sale: Luxury 400sqm And 800sqm Residential Plots In A Beautiful Estate,Land,Hampton Bay Estate Ikate Elegushi Lekki Lagos,"₦380,000,000",,,,04 Oct 2023,18 Feb 2026
For sale: Dariann Court,House,Ajah Lagos,"₦120,000,000",4,,,23 Apr 2025,18 Feb 2026
For sale: Invest In Ayo Castle,Land,Elerangbe Off Lekki Epe Express Way Ibeju Lekki Lagos,"₦30,000,000",,,,09 Apr 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Swimming Pool + Gym,House,Parkview Estate Ikoyi Lagos,"₦1,200,000,000",4,4,5,29 Jun 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Lakeview Phase 2 Estate Orchid Hotel Road Chevron Drive Lekki Lagos,"₦750,000,000",5,5,6,09 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Osapa London Lekki Lagos,"₦650,000,000",5,5,6,04 Jul 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool,House,Ologolo Lekki Lagos,"₦300,000,000",5,5,6,05 Jul 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex,House,Ologolo Lekki Lagos,"₦350,000,000",5,5,6,02 Jul 2025,18 Feb 2026
For sale: Luxury 1 Bedroom Apartment With Excellent Finishing,Flat & Apartment,Whitesand School Lekki Phase 1 Lagos,"₦120,000,000",1,1,2,18 Jun 2025,18 Feb 2026
For sale: 2bedroom Apartment *de Avocado Smart And* *luxury Homes 2.0 Abijo* *(inside Chois Garden* *estate)*,Flat & Apartment,Inside Chois Estate Abijo Ajah Lagos,"₦70,000,000",2,,,07 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool In An Elite Estate,House,Guzape Abuja Phase 1,"₦2,200,000,000",5,5,6,21 Jan 2026,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Cinema + Swimming Pool,House,Northernforesure Estate Chevron Drive Lekki Lagos,"₦1,500,000,000",5,5,6,07 Nov 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Lekki County Homes Estate ( Megamond) Lekki Phase 1 Lagos,"₦500,000,000",5,5,6,27 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 2 Bedroom Apartment With Swimming Pool + Gym,Flat & Apartment,Off Admiralty Way Lekki Phase 1 Lagos,"₦270,000,000",2,2,3,15 Jul 2025,18 Feb 2026
For sale: Brand New & Lovely 5 Bedroom Semi Detached Duplex With Swimming Pool And Boys' Quarter,House,Cowrie Creek Estate Lekki Lagos,"₦1,000,000,000",5,5,6,20 Jan 2026,15 Feb 2026
For sale: Joint Venture Development Lekki Phase 1,Land,Lekki Phase 1 Lagos,"₦1,200,000,000",,,,28 Nov 2025,18 Feb 2026
For sale: Land Measuring 1139 Sqm,Land,Lekki Phase 1 Lagos,"₦1,300,000,000",,,,02 Oct 2025,18 Feb 2026
For sale: Exquisite Lekki Phase 1 5units Of 5 Bedrooms Fully Detached Duplex For Sale*🔌,House,Lekki Enclave Estate By Earl Court Nike Art Gallery Lekki Phase 1 Right Lekki Phase 1 Lagos,"₦820,000,000",5,,,04 Nov 2025,18 Feb 2026
For sale: Massive 6 Bedroom Detached Duplex With Elevator,House,Market Square Kado Abuja Phase 2,"₦1,000,000,000",5,5,6,08 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Maisonette With Swimming Pool,House,Wuye Abuja Phase 2,"₦750,000,000",4,4,5,04 Jan 2026,18 Feb 2026
For sale: Don’t Miss This Exquisite Buy And Build Plots Of Lands,Land,Title Governors Consent Back Of The Biggest Shoprite In Nigeria Sangotedo Ajah Lagos,"₦90,000,000",,,,25 Jul 2024,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Lakeview Phase 2 Estate Orchid Hotel Road Chevron Drive Lekki Lagos,"₦750,000,000",5,5,6,09 Jul 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Victory Park Estate Osapa London Lekki Lagos,"₦600,000,000",5,5,6,31 Jan 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Semi Detached Duplex,House,Idu By Turkish Hospital Karmo Abuja Phase 3,"₦250,000,000",5,5,6,14 Dec 2024,18 Feb 2026
For rent: Well Maintained Spacious 3 Bedroom Apartment On The 2nd Floor,Flat & Apartment,Ikoyi Lagos,"₦30,000,000",3,3,4,20 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator + Swimming Pool,House,Pinnock Beach Estate Osapa London Lekki Lagos,"₦1,600,000,000",5,5,6,21 May 2024,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Swimming Pool + Gym,House,Parkview Estate Ikoyi Lagos,"₦1,200,000,000",4,4,5,29 Jun 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Osapa London Lekki Lagos,"₦650,000,000",5,5,6,04 Jul 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool,House,Ologolo Lekki Lagos,"₦300,000,000",5,5,6,05 Jul 2025,18 Feb 2026
For sale: Luxury 400sqm And 800sqm Residential Plots In A Beautiful Estate,Land,Hampton Bay Estate Ikate Elegushi Lekki Lagos,"₦380,000,000",,,,04 Oct 2023,18 Feb 2026
"For sale: *city View Park & Resort, Gwagwalada, Abuja.*",Land,Cofo Gwagwalada Abuja Phase 4,"₦8,000,000",,,,09 Apr 2025,18 Feb 2026
For sale: 1bedroom Apartment *de Avocado Smart And* *luxury Homes 2.0 Abijo* *(inside Chois Garden* *estate)*,Flat & Apartment,Inside Chois Garden Estate Abijo Ajah Lagos,"₦60,000,000",1,,,07 Jul 2025,18 Feb 2026
For sale: Primed 675sqm & 1700sqm Residential Plot In A Beautiful Estate,Land,Victoria Garden City Lekki Lagos,"₦340,000,000",,,,16 Jul 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Terrace Duplex With Bq,House,Aso Drive Maitama Abuja Phase 1,"₦900,000,000",4,4,5,12 Nov 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator Shaft,House,Wuse Zone 7 Wuse Abuja Phase 1,"₦800,000,000",5,5,6,19 Aug 2025,18 Feb 2026
For sale: Massive 6 Bedroom Detached Duplex With 2 Rooms Bq,House,Efab Queens Karsana Karsana Abuja Phase 3,"₦450,000,000",6,6,7,19 Aug 2025,18 Feb 2026
"For sale: Distress Two(2)plots Of Land For Sale Rehoboth Park And Gardens, Phase 2 Extension 2, Ibeju Lekki",Land,Close To Dangote Refinery Free Trade Zone Ibeju Lekki Lagos,"₦45,000,000",,,,15 Oct 2025,18 Feb 2026
For sale: 2bedroom Apartment *de Avocado Smart And* *luxury Homes 2.0 Abijo* *(inside Chois Garden* *estate)*,Flat & Apartment,Inside Chois Estate Abijo Ajah Lagos,"₦70,000,000",2,,,07 Jul 2025,18 Feb 2026
For sale: Dariann Court,House,Ajah Lagos,"₦120,000,000",4,,,23 Apr 2025,18 Feb 2026
For sale: Massive 6 Bedroom Detached Duplex With Elevator,House,Market Square Kado Abuja Phase 2,"₦1,000,000,000",5,5,6,08 Oct 2025,18 Feb 2026
For sale: Exquisite Lekki Phase 1 5units Of 5 Bedrooms Fully Detached Duplex For Sale*🔌,House,Lekki Enclave Estate By Earl Court Nike Art Gallery Lekki Phase 1 Right Lekki Phase 1 Lagos,"₦820,000,000",5,,,04 Nov 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Maisonette With Swimming Pool,House,Wuye Abuja Phase 2,"₦750,000,000",4,4,5,04 Jan 2026,18 Feb 2026
For sale: Don’t Miss This Exquisite Buy And Build Plots Of Lands,Land,Title Governors Consent Back Of The Biggest Shoprite In Nigeria Sangotedo Ajah Lagos,"₦90,000,000",,,,25 Jul 2024,18 Feb 2026
For sale: Joint Venture Development Lekki Phase 1,Land,Lekki Phase 1 Lagos,"₦1,200,000,000",,,,28 Nov 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Victory Park Estate Osapa London Lekki Lagos,"₦600,000,000",5,5,6,31 Jan 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Semi Detached Duplex,House,Idu By Turkish Hospital Karmo Abuja Phase 3,"₦250,000,000",5,5,6,14 Dec 2024,18 Feb 2026
For sale: Lucrative Estate Plot | Maitama Extension,Land,Maitama Extension Mpape Abuja Phase 4,"₦45,000,000",,,,11 Feb 2026,14 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator + Swimming Pool,House,Pinnock Beach Estate Osapa London Lekki Lagos,"₦1,600,000,000",5,5,6,21 May 2024,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Swimming Pool + Gym,House,Parkview Estate Ikoyi Lagos,"₦1,200,000,000",4,4,5,29 Jun 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Osapa London Lekki Lagos,"₦650,000,000",5,5,6,04 Jul 2025,18 Feb 2026
For sale: Land Measuring 1139 Sqm,Land,Lekki Phase 1 Lagos,"₦1,300,000,000",,,,02 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Lakeview Phase 2 Estate Orchid Hotel Road Chevron Drive Lekki Lagos,"₦750,000,000",5,5,6,09 Jul 2025,18 Feb 2026
"For sale: *city View Park & Resort, Gwagwalada, Abuja.*",Land,Cofo Gwagwalada Abuja Phase 4,"₦8,000,000",,,,09 Apr 2025,18 Feb 2026
For sale: 1bedroom Apartment *de Avocado Smart And* *luxury Homes 2.0 Abijo* *(inside Chois Garden* *estate)*,Flat & Apartment,Inside Chois Garden Estate Abijo Ajah Lagos,"₦60,000,000",1,,,07 Jul 2025,18 Feb 2026
For sale: Luxury 400sqm And 800sqm Residential Plots In A Beautiful Estate,Land,Hampton Bay Estate Ikate Elegushi Lekki Lagos,"₦380,000,000",,,,04 Oct 2023,18 Feb 2026
For sale: Primed 675sqm & 1700sqm Residential Plot In A Beautiful Estate,Land,Victoria Garden City Lekki Lagos,"₦340,000,000",,,,16 Jul 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool,House,Ologolo Lekki Lagos,"₦300,000,000",5,5,6,05 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator Shaft,House,Wuse Zone 7 Wuse Abuja Phase 1,"₦800,000,000",5,5,6,19 Aug 2025,18 Feb 2026
For sale: 4 Bedroom Fully Detached Duplex In Ajah,House,Ajah Lagos,"₦140,000,000",4,4,6,21 Dec 2025,18 Feb 2026
For sale: Affordable 5 Bedroom Detached Duplex With Swimming Pool,House,Ologolo Lekki Lagos,"₦300,000,000",5,5,6,05 Jul 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Elevator Shaft,House,Wuse Zone 7 Wuse Abuja Phase 1,"₦800,000,000",5,5,6,19 Aug 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Bq,House,Jahi By Gilmore Jahi Abuja Phase 2,"₦350,000,000",4,4,5,26 Sep 2025,18 Feb 2026
For sale: Serviced 606sqm & 817sqm& 1333sqm Residential Plot In A Beautiful Estate,Land,Creek Haven Estate Victoria Garden City Lekki Lagos,"₦252,000,000",,,,24 Feb 2022,18 Feb 2026
For sale: Tastefully Exquisite 5bedroom Duplex,House,Ologolo Lekki Lagos,"₦500,000,000",5,,,05 Dec 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool,House,Old Ikoyi Lagos,"₦2,700,000,000",5,5,6,22 Jul 2025,18 Feb 2026
For sale: Affordable 4 Bedroom Terrace Duplex,House,Alpha Beach Road Igbo Efon Lekki Lagos,"₦145,000,000",4,4,5,08 Feb 2025,18 Feb 2026
For sale: Invest In Marbella Luxury And Smart Estate*,Land,With Cofo Along The Lekki/epe Expressway Don’t Miss This Prelaunch Promo Ajah Lagos,"₦109,500,000",,,,15 May 2024,18 Feb 2026
"For sale: Almond County, Mowe Town",Land,Cofo Land Mowe Ogun Area,"₦15,000,000",,,,14 Jul 2024,18 Feb 2026
For sale: Newly Built 4 Bed Maisonette With Rooftop Swimming Pool,House,Mojisola Onikoyi Estate Lagos,"$1,755,000",4,4,5,23 Dec 2025,17 Feb 2026
"For sale: Verified,dry And Futuristic Land At Kambili City By Ayhomes",Land,"Buy At Prelaunch Promo Price Opposite Nigeria Brewery, Epe Ijebu Ode Road Via Epe Toll Gate Epe Lagos","₦4,500,000",,,,07 Aug 2024,18 Feb 2026
For sale: Primed 1216sqm & 2490sqm Commercial Plot(apartment Plots),Land,Beside Vgc Victoria Garden City Lekki Lagos,"₦323,000,000",,,,01 Aug 2022,18 Feb 2026
For sale: Cofo Land At *the Maldives Garden Oshoroko Ibeju Lekki*,Land,5mins To Dangote Refinery And Free Trade Zone Oshoroko Free Trade Zone Ibeju Lekki Lagos,"₦35,000,000",,,,21 Oct 2024,18 Feb 2026
For sale: Primed 500sqm & 1000sqm Residential Plot In An Upcoming Estate,Land,Off Freedom Way Lekki Phase 1 Lagos,"₦250,000,000",,,,19 Apr 2022,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool,House,Royal Garden Estate Ajiwe Ajah Lagos,"₦650,000,000",5,5,6,12 Feb 2026,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool,House,Asokoro Abuja Phase 1,"₦1,500,000,000",5,5,6,21 Jun 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Bq,House,Maitama Main Maitama Abuja Phase 1,"₦750,000,000",4,4,5,13 Aug 2025,18 Feb 2026
For sale: Own Acres At Queens Park Estate Abuja,Land,Kuje Abuja Phase 4,"₦4,000,000",,,,10 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Bq,House,Apo Legislative Quarters Apo Abuja Phase 2,"₦500,000,000",5,5,6,11 Oct 2025,18 Feb 2026
"For sale: Land Measuring 4,489 Sqm",Land,Chevron Drive Lekki Lagos,"₦2,100,000,000",,,,15 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 6 Bedroom Detached Duplex With Bq,House,Guzape Abuja Phase 1,"₦500,000,000",5,5,6,15 Oct 2025,18 Feb 2026
For sale: Exquisite 4bedroom Terrace Duplex,House,Ikate Lekki Lekki Lagos,"₦280,000,000",4,,,06 Dec 2025,18 Feb 2026
For sale: Magnificent 5 Beds With A Private Pool,House,Orchid Road Lekki Lagos,"₦450,000,000",5,,,31 Oct 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Semi Detached Duplex With Bq,House,Lekki Phase 1 Lagos,"₦650,000,000",4,4,5,13 Nov 2025,18 Feb 2026
For sale: 2bedroom Apartment For Sale With Furniture,Flat & Apartment,Ikate Jakande Lekki Jakande Lekki Lagos,"₦180,000,000",2,,,02 Feb 2026,18 Feb 2026
For sale: Land Measuring 800sqm Lekki,Land,Lekki Lagos,"₦550,000/sqm",,,,28 Nov 2025,18 Feb 2026
For sale: * Chevron Lekki Luxurious Duplex With Cinema & Swimming Pool*,House,Chevron Axis Lekki Lekki Lagos,"₦720,000,000",5,,,28 Nov 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema + Gym,House,Palm Residence Osapa London Lekki Lagos,"₦1,300,000,000",5,5,6,25 Apr 2025,18 Feb 2026
For sale: Tastefully Finished 3 Bedroom Apartment With Swimming Pool,Flat & Apartment,Chevron Drive Lekki Lagos,"₦160,000,000",3,3,4,04 May 2025,18 Feb 2026
For sale: City View Estate,Land,Lakowe Ajah Lagos,"₦15,000,000",,,,10 May 2025,18 Feb 2026
For sale: Tastefully Finished 3 Bedroom Apartment With Bq,Flat & Apartment,Banana Island Ikoyi Lagos,"₦1,600,000,000",3,3,4,07 Feb 2026,18 Feb 2026
For rent: Furnished 3 Bedroom Apartment +bq+pool Etc X 2yrs Minimum,Flat & Apartment,Old Ikoyi Lagos,"₦24,999,999",3,3,4,29 Jan 2026,18 Feb 2026
For sale: 5 Plots Of Land,Land,Opposite Mayfair Garden Estate 6 Plots Away From The Lekki Epe Express Way Ibeju Lekki Lagos,"₦400,000,000",,,,02 Feb 2026,18 Feb 2026
For sale: Tastefully Finished 1 Bedroom Apartment With Elevator,Flat & Apartment,Lekki Phase 1 Lagos,"₦250,000,000",1,1,2,11 Feb 2026,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Bq,House,D Katampe Ext. Abuja Phase 2,"₦650,000,000",4,4,5,31 Jan 2026,18 Feb 2026
For sale: Rc,Land,Off Bank Anthony Olowu Street Ikeja Lagos,"₦400,000,000",,,,01 Feb 2026,18 Feb 2026
For sale: Tastefully Furnished 4 Bedroom Terrace Duplex,House,Guzape Abuja Phase 1,"₦450,000,000",4,4,5,28 Jan 2026,18 Feb 2026
For sale: Affordable 3 Bedroom Apartment With Payment Plan,Flat & Apartment,Ikoyi Lagos,"₦480,000,000",3,3,4,08 Feb 2026,18 Feb 2026
"For sale: Duplex With A Private Pool, Exterior Lounge & Cinema",House,Ikate Lekki Lekki Lagos,"₦900,000,000",5,,,24 Jul 2025,18 Feb 2026
For sale: New Development Apartments Vi,House,Victoria Island Lagos,"₦600,000,000",3,3,4,25 Nov 2025,18 Feb 2026
For sale: 5 Bedroom Fully Detached Duplex With Bq,House,Ikota Lekki Lagos,"₦380,000,000",5,5,6,26 Nov 2025,18 Feb 2026
For sale: Automated 4 Bedroom Terrace Duplex With Rooftop Terrace,House,Wuye Abuja Phase 2,"₦500,000,000",4,4,5,26 Nov 2025,18 Feb 2026
For sale: Massive 5 Bedroom Detached Duplex With Bq,House,Diplomatic Zone Katampe Ext. Abuja Phase 2,"₦1,500,000,000",5,5,6,27 Nov 2025,18 Feb 2026
For sale: 4 Bedroom Fully Detached Duplex In Ajah,House,Ajah Lagos,"₦140,000,000",4,4,6,21 Dec 2025,18 Feb 2026
For sale: Exquisite Apartment With Pool And Elevator,Flat & Apartment,Ikate Lekki Lekki Lagos,"₦300,000,000",3,,,04 Dec 2025,18 Feb 2026
For sale: 1 Bedroom Apartment Vi,Flat & Apartment,Victoria Island Lagos,"₦350,000,000",1,1,2,04 Dec 2025,18 Feb 2026
For sale: Luxury 1 & 2 Bedroom Apartment,Flat & Apartment,"Igbo Efon Before Chevron Drive , Lekki Lekki Lagos","₦60,000,000",1,,,18 Dec 2025,18 Feb 2026
For sale: Land Measuring 294sqm Lekki,Land,Lekki Lagos,"₦170,000,000",,,,12 Dec 2025,18 Feb 2026
For sale: Affordable 3 Bedroom Apartment With Swimming Pool,Flat & Apartment,Lekki Phase 1 Lagos,"₦380,000,000",3,3,4,16 Dec 2025,18 Feb 2026
For sale: Newly Built 3 Bedroom Apartment In A Strategic Location,Flat & Apartment,Freedom Way Lekki Phase 1 Lagos,"₦250,000,000",3,3,4,21 Dec 2025,18 Feb 2026
For sale: Newly Built 4 Bedroom Terrace Duplex With Bq,House,Jahi Abuja Phase 2,"₦350,000,000",4,4,5,05 Dec 2025,18 Feb 2026
For sale: 🏡 For Sale | Luxury 5 Bedroom Fully Detached Duplex,House,Chevron Toll Gate Lekki Lekki Lagos,"₦680,000,000",5,,,27 Dec 2025,18 Feb 2026
"For sale: Magnificent 5 Beds Detached Duplex With A Private Pool, Exterior Lounge, Elevator & Cinema",House,": Pinnock Beach Estate, Osapa London. Osapa London Lekki Lagos","₦2,300,000,000",5,,,09 Sep 2025,18 Feb 2026
For sale: Exquisite 5bedrooms Fully Detached Duplex With Bq,House,Ajah Lagos,"₦200,000,000",5,,,25 Jan 2026,18 Feb 2026
For sale: Luxury 5 Bedroom Detached Duplex With Swimming Pool,House,Orchid Hotel Road Chevron Drive Lekki Lagos,"₦320,000,000",5,5,6,10 Sep 2025,18 Feb 2026
"For sale: Large Land Measuring 20,000 Sqm",Land,Lekki Phase 1 Lagos,"₦19,000,000",,,,25 Sep 2025,18 Feb 2026
For sale: 1000 Sqm Purely Residential Plot With 6 Units Of 3 Bedroom Flats + Bq Each,Land,Lekki Phase 1 Lagos,"₦1,500,000,000",,,,26 Sep 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Terrace Duplex With Bq,House,Kukwuaba Abuja Phase 2,"₦250,000,000",4,4,5,15 Sep 2025,18 Feb 2026
For sale: Luxury 5 Bedroom Terrace Duplex With Swimming Pool + Gym,House,Off Gbangbala Street Ikate Lekki Phase 1 Lagos,"₦350,000,000",5,5,6,18 Sep 2025,18 Feb 2026
For sale: Luxury 4 Bedroom Semi Detached Duplex With Bq,House,Orchid Hotel Road Chevron Drive Lekki Lagos,"₦260,000,000",4,4,5,10 Oct 2025,18 Feb 2026
For sale: Brand New 2 Bedroom Apartment With Children Playground,Flat & Apartment,Ikate Elegushi Lekki Lagos,"₦150,000,000",2,2,3,29 Sep 2025,18 Feb 2026
"For sale: 1,139.99 Sqm Fenced & Gated Plot Of Land",Land,Lekki Phase 1 Lagos,"₦1,300,000,000",,,,26 Sep 2025,18 Feb 2026
For sale: Top Notch 3 Bedroom Apartment ( Location Is Best For Air Bnb),Flat & Apartment,Victoria Island Lagos,"₦750,000,000",3,,,03 Oct 2025,18 Feb 2026
For sale: Waterfront Plot Measuring 3430 Sqm,Land,Banana Island Ikoyi Lagos,"₦3,500,000/sqm",,,,09 Oct 2025,18 Feb 2026
"For sale: Newly Built, Luxury 4 Bedroom Maisonette With 2 Bq En Suites",Flat & Apartment,Ikoyi Lagos,"$1,000,000",4,4,5,09 Oct 2025,18 Feb 2026
For sale: 2 Bedroom Apartment With Open Plan Kitchen,Flat & Apartment,Ikate Lekki Lagos Ikate Elegushi Lekki Lagos,"₦160,000,000",2,2,2,09 Dec 2025,14 Feb 2026
For sale: Tastefully Finished 5 Bedroom Terrace Duplex In An Elite Estate,House,By Coza Church Guzape Abuja Phase 1,"₦1,500,000,000",5,5,5,27 Jan 2026,18 Feb 2026
For sale: 5bedroom Luxury Detached Duplex With Governor Consent,House,Lekki Phase 1 Lekki Lagos,"₦1,300,000,000",,,,27 Jan 2026,18 Feb 2026
For sale: 4 Bedroom Terrace Duplex With Private Compound For Sale,House,Sangotedo Ajah Lagos,"₦100,000,000",4,,,11 Jan 2026,18 Feb 2026
For sale: Tastefully Finished 2 Bedroom Apartment With Elevator,Flat & Apartment,Lekki Phase 1 Lagos,"₦350,000,000",2,2,3,11 Feb 2026,18 Feb 2026
"For sale: 100 Plots On Distress Sale @ New Enugu City, Independence Layout* Phase 2",Land,Independent Layout Enugu Suburb Enugu Area,"₦7,500,000",,,,06 Feb 2026,18 Feb 2026
For sale: Exquisite 5bedroom Duplex,House,Lekki Phase 1 Lagos,"₦1,200,000,000",5,,,01 Oct 2025,18 Feb 2026
For sale: Waterfront Land Measuring 3100 Sqm,Land,Osborne Foreshore Estate Ikoyi Lagos,"₦2,400,000/sqm",,,,10 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Terrace Duplex With Bq,House,Maitama Main Maitama Abuja Phase 1,"₦1,500,000,000",4,4,5,06 Oct 2025,18 Feb 2026
For sale: Tastefully Finished 5 Bedroom Detached Duplex With Swimming Pool + Cinema,House,Chevy View Estate Chevron Drive Lekki Lagos,"₦500,000,000",5,5,6,15 Aug 2025,18 Feb 2026
For sale: 5 Bed Waterfront Mansion With Private Jetty,House,Banana Island Ikoyi Lagos,"$25,000,000",5,7,7,26 Dec 2025,18 Feb 2026
For sale: Tastefully Furnished 4 Units Of 5 Bedroom Detached Duplex With Elevator + Swimming Pool,House,Utako Abuja Phase 2,"₦4,300,000,000",10,10,10,04 Sep 2025,18 Feb 2026
For sale: 🔑🔑 5bedrooms Fully Detached Duplex With Bq For Sale!!,House,Ajah Lagos,"₦300,000,000",5,,,13 Jan 2026,18 Feb 2026
For sale: Grab A Slice From Ayora Haven,Land,"Iberekodo Off Lekki/epe Express Way, Beside Eleganza, Ibeju Lekki Lagos. Ibeju Lekki Lagos","₦50,000,000",,,,27 Aug 2025,18 Feb 2026
For sale: Quintessential 5bedroom Duplex With Pool And Bq,House,Ikota Lekki Lagos,"₦470,000,000",5,,,15 Feb 2026,18 Feb 2026
For sale: Tastefully Finished 4 Bedroom Semi Detached Duplex With Bq,House,Orchid Hotel Road Chevron Drive Lekki Lagos,"₦200,000,000",4,4,5,09 Sep 2025,18 Feb 2026
For sale: Serviced 3 & 4 Bedroom Terrace Duplex,House,Abraham Adesanya Ajah Lagos,"₦110,000,000",4,,,15 Feb 2026,18 Feb 2026
For sale: Luxury 1 Bedroom Apartment In A Strategic Location,Flat & Apartment,Jahi Abuja Phase 2,"₦90,000,000",1,1,2,19 Jan 2026,18 Feb 2026
For sale: Magnificent 5 Beds With A Private Pool,House,Chevron Drive Lekki Lagos,"₦600,000,000",5,,,31 Jan 2026,18 Feb 2026
For sale: Plot Measuring 1500 Sqm,Land,Banana Island Ikoyi Lagos,"₦8,500,000,000",,,,09 Oct 2025,18 Feb 2026
