,title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
842,Serviced Plots Sizes From 600sqm,land,"vintage park estate off spar road., ikate, lekki, lagos",1000000.0,low,,,,,2026-01-24,NaT,Lagos
843,Newly Built Smart 4 Bedroom Terrace Duplex With Bq,house,"ikate, lekki, lagos",400000000.0,high,4.0,4.0,100000000.0,2026-09-01,2026-01-24,2026-09,Lagos
844,Massive Beach Front Studio Apartment In A Serene Environment,flat/apartment,"okun-ajah, ajah, lagos",52688000.0,high,,1.0,,,2026-01-23,NaT,Lagos
845,Luxury 5 Bedroom Fully Detached Duplex,fully detached,"chevron, lekki, lagos",650000000.0,high,5.0,5.0,130000000.0,,2026-01-23,NaT,Lagos
846,Brand New Luxury 4 Bedroom Duplex,house,"lekki county ikota, lekki, lagos",140000000.0,high,4.0,5.0,35000000.0,,2026-01-24,NaT,Lagos
847,5 Bedroom Fully Detached Duplex +bq With Pool,fully detached,"chevron tollgate, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-25,NaT,Lagos
848,8800 Msq Land With Old Warehouses,land,"akanbi onitiri street, eric moore, surulere, lagos",5500000000.0,high,,,,2026-05-01,2026-01-05,2026-05,Lagos
849,"Buildings On 4 Plots (2,400 Square Metres) Of Commercial Land",land,"ikorodu road expressway, palmgrove, shomolu, lagos",1700000000.0,high,,,,,2026-01-23,NaT,Lagos
850,Lovely 2 Bedroom Apartment In A Lovely Estate,flat/apartment,"ologolo, lekki, lagos",140000000.0,high,2.0,3.0,70000000.0,,2026-01-24,NaT,Lagos
851,4 Bedroom Fully Detached Duplex,fully detached,"ajah, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-23,NaT,Lagos
852,Luxury Well Finished 4 Bedroom Duplex,house,"happyland estate, ajah, lagos",180000000.0,high,4.0,4.0,45000000.0,2026-06-01,2026-01-23,2026-06,Lagos
853,Luxury Meet Comfort At Our 3 Bedroom Flat With A Bq,flat/apartment,"bella vista, banana island, ikoyi, lagos",850000000.0,high,3.0,,283333333.3,,2026-01-23,NaT,Lagos
854,A Tastefully Furnished 2 Bedroom Apartment With A Swimming Pool,flat/apartment,"ikate, lekki, lagos",230000000.0,high,2.0,2.0,115000000.0,,2026-01-23,NaT,Lagos
855,A Tastefully Built 2 Bedroom Apartment,flat/apartment,"ikate, lekki, lagos",180000000.0,high,2.0,2.0,90000000.0,,2026-01-23,NaT,Lagos
856,Newly Built 4 Bedrooms Fully Detached Duplex With Bq,fully detached,"opic, isheri north, lagos",250000000.0,high,4.0,4.0,62500000.0,,2026-01-23,NaT,Lagos
857,Brand New 2 Bedroom Apartments,flat/apartment,"off awolowo road, ikoyi, lagos",270000000.0,high,2.0,2.0,135000000.0,,2026-01-24,NaT,Lagos
858,Contemporary Designed 5 Bedroom Detached Home,flat/apartment,"ajah, lagos",330000000.0,high,5.0,5.0,66000000.0,,2026-01-23,NaT,Lagos
859,5 Bedroom Detached Duplex,detached duplex,"harris drive, vgc, lekki, lagos",320000000.0,high,5.0,5.0,64000000.0,,2026-01-23,NaT,Lagos
860,New 1 Bedroom Flat In A Serviced Estate,flat/apartment,"orji murray street, ilasan, lekki, lagos",85000000.0,high,1.0,,85000000.0,2026-09-01,2026-01-10,2026-09,Lagos
861,5-bedroom Fully Detached Duplex,fully detached,"lekki, lagos",720000000.0,high,5.0,5.0,144000000.0,,2026-01-23,NaT,Lagos
862,50 Rooms Exclusive Hotel Available,hotel / guest house,"ajah, lagos",3200000000.0,high,50.0,50.0,64000000.0,,2026-01-23,NaT,Lagos
863,Block Of 4 Nos. Of 3 Bedrooms Flats,flat/apartment,"ogunlewe street, igbogbo, ikorodu, lagos",80000000.0,high,3.0,3.0,26666666.67,,2026-01-13,NaT,Lagos
864,Newly Built Partly Furnished 5 Bedroom Detached Duplex With A Room Bq,detached duplex,"gra, ogudu, lagos",385000000.0,high,5.0,5.0,77000000.0,,2026-01-13,NaT,Lagos
865,6 Rooms Detached Bungalow On Half Plot Of Land,land,"off ebute igbogbo road, ebute, ikorodu, lagos",21000000.0,mid,6.0,6.0,3500000.0,2025-03-05,2026-01-13,2025-03,Lagos
866,Luxury 4 Bedroom Semi Detached Duplex,semi detached duplex,"ikota, lekki, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-23,NaT,Lagos
867,5 Bedroom Detached House With Swimming Pool,flat/apartment,"ikota, lekki, lagos",400000000.0,high,5.0,5.0,80000000.0,,2026-01-23,NaT,Lagos
868,Automated Luxurious 5 Bedroom Mansion,flat/apartment,"beside pinnock estate, osapa, lekki, lagos",1550000000.0,high,5.0,5.0,310000000.0,,2026-01-23,NaT,Lagos
869,Vacant 3 Bedroom Apartment With Bq First Floor,flat/apartment,"off allen avenue, allen, ikeja, lagos",85000000.0,high,3.0,,28333333.33,,2026-01-24,NaT,Lagos
870,"Over 5,000 Acres Of Lagoon Water-front Land.",land,"eepem road, ajido, badagry, lagos",18000000.0,mid,,,,,2026-01-23,NaT,Lagos
871,Lovely Built 4 Bedroom Semi Detached Duplex,semi detached duplex,"ikota, lekki, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-23,NaT,Lagos
872,5 Bedroom Fully Detached Home,fully detached,"ikoyi, lagos",3500000000.0,high,5.0,5.0,700000000.0,,2026-01-23,NaT,Lagos
873,Distress Brand New 2 Bedroom Flat With A Bq,flat/apartment,"ikate elegushi, lekki, lagos",145000000.0,high,2.0,2.0,72500000.0,2025-07-11,2026-01-23,2025-07,Lagos
874,Brand New 3 Bedroom Flat With A Bq,flat/apartment,"ikate elegushi, lekki, lagos",200000000.0,high,3.0,3.0,66666666.67,2025-07-11,2026-01-23,2025-07,Lagos
875,Brand New 4 Bedroom Semi-detached Duplex With A Bq,semi detached duplex,"cowrie creek estate, ikate, lekki, lagos",900000000.0,high,4.0,4.0,225000000.0,,2026-01-23,NaT,Lagos
876,6 Units Of 2 Bedroom Apartment,flat/apartment,"off awolowo road, ikoyi, lagos",270000000.0,high,2.0,2.0,135000000.0,,2026-01-23,NaT,Lagos
877,5 Bedroom Fully Detached Duplex Plus Bq,fully detached,"agungi, lekki, lagos",280000000.0,high,5.0,5.0,56000000.0,,2026-01-23,NaT,Lagos
878,3 Bedrooms,flat/apartment,"ahmadu bello way, new coastal road, victoria island (vi), lagos",420000000.0,high,3.0,3.0,140000000.0,,2026-01-23,NaT,Lagos
879,Elegantly Built 5 Bedroom Fully Detached Home With Swimming Pool,fully detached,"lekki phase 1, lekki, lagos",1200000000.0,high,5.0,,240000000.0,,2026-01-19,NaT,Lagos
880,3 Bedrooms,flat/apartment,"ahmadu bello way, new coastal road, victoria island (vi), lagos",420000000.0,high,3.0,3.0,140000000.0,,2026-01-23,NaT,Lagos
881,Exquisite 2-bedroom Apartment,flat/apartment,"oba yesufu abiodun road, oniru, victoria island (vi), lagos",300000000.0,high,2.0,2.0,150000000.0,,2026-01-23,NaT,Lagos
882,Luxurious Serviced 4 Bedroom Semi-detached Duplex With Bq,semi detached duplex,"ajah, lagos",125000000.0,high,4.0,,31250000.0,,2026-01-23,NaT,Lagos
883,12 Units Of Newly Built 5 Bedroom Duplexes With Bq,house,"ilasan, lekki, lagos",450000000.0,high,5.0,,90000000.0,,2026-01-23,NaT,Lagos
884,5 Bedroom Semi Detached Duplex With 2 Bedroom Bq,semi detached duplex,"cowrie creek estate, lekki, lagos",950000000.0,high,5.0,5.0,190000000.0,,2026-01-23,NaT,Lagos
885,3 Bedroom Apartment With A Room Boys Quarter,flat/apartment,"banana island, ikoyi, lagos",500000000.0,high,3.0,3.0,166666666.7,2026-09-01,2026-01-24,2026-09,Lagos
886,Luxury 5-bedroom Semi-detached Home With Bq,semi detached duplex,"ikate, lekki, lagos",400000000.0,high,5.0,,80000000.0,,2026-01-23,NaT,Lagos
887,Newly Built 2 Bedrooms Flat,flat/apartment,"yabatech, yaba, lagos",135000000.0,high,2.0,2.0,67500000.0,,2026-01-13,NaT,Lagos
888,"Newly Built 5 Bedrooms Detached Duplex With A Rm Bq,governors Consent",detached duplex,"off isaac john street, ikeja gra, ikeja, lagos",1100000000.0,high,5.0,5.0,220000000.0,,2026-01-13,NaT,Lagos
889,Newly Built 4 Bedrooms Semi Detached Duplex With A Room Bq,semi detached duplex,"gra, ogudu, lagos",320000000.0,high,4.0,4.0,80000000.0,,2026-01-13,NaT,Lagos
890,Beautifully Built 5 Bedroom Fully Detached Duplex,fully detached,"osapa, lekki, lagos",300000000.0,high,5.0,6.0,60000000.0,,2026-01-23,NaT,Lagos
891,Brand New 2 Bedroom Maisonette,flat/apartment,"off coastal road, ikate, lekki, lagos",210000000.0,high,2.0,2.0,105000000.0,,2026-01-23,NaT,Lagos
892,Luxurious 5 Bedroom Detached Duplex With Pool & Bq In Secure Estate,detached duplex,"ikota, lekki, lagos",400000000.0,high,5.0,6.0,80000000.0,,2026-01-23,NaT,Lagos
893,Neatly Built 5 Bedroom Fully Detached Duplex With Bq,fully detached,"osapa, lekki, lagos",750000000.0,high,5.0,6.0,150000000.0,,2026-01-23,NaT,Lagos
894,Brand New 2 Bedroom Apartment With Rooftop Bar And Elevator,flat/apartment,"project delivery date may 2026, ologolo, lekki, lagos",120000000.0,high,2.0,2.0,60000000.0,,2026-01-25,NaT,Lagos
895,Mixed Use Land,land,"adiva estate, inside beachwood estate, shapati, ibeju lekki, lagos",67500000.0,high,,,,2025-02-12,2026-01-23,2025-02,Lagos
896,Brand New 5 Bedroom Fully Detached Duplex,fully detached,"ikota, lekki, lagos",400000000.0,high,5.0,5.0,80000000.0,,2026-01-23,NaT,Lagos
897,Luxury Spacious 4 Bedroom Terrace Duplex With A Room Bq,house,"gra phase 1, magodo, lagos",280000000.0,high,4.0,4.0,70000000.0,,2026-01-23,NaT,Lagos
898,6 Units Of 2 Bedroom Apartment,flat/apartment,"ikoyi, lagos",270000000.0,high,2.0,,135000000.0,,2026-01-25,NaT,Lagos
899,"Ebute Metta  Well Maintain 3 Storey Building, Consist Of 7 Units",house,"federal medical center, ebute metta west, yaba, lagos",250000000.0,high,23.0,23.0,10869565.22,,2026-01-24,NaT,Lagos
900,Top Luxury Off-plan 3 Bedrooms Apartment With Bq,flat/apartment,"off admiralty way, lekki phase 1, lekki, lagos",280000000.0,high,3.0,3.0,93333333.33,,2026-01-15,NaT,Lagos
901,6 Units Of 2 Bedroom Apartment,flat/apartment,"ikoyi, lagos",270000000.0,high,2.0,,135000000.0,,2026-01-25,NaT,Lagos
902,"Ebute Metta  Well Maintain 3 Storey Building, Consist Of 7 Units",house,"federal medical center, ebute metta west, yaba, lagos",250000000.0,high,23.0,23.0,10869565.22,,2026-01-24,NaT,Lagos
903,500sqm Cornerpiece Land,land,"lekki scheme2 ajah, ajah, lagos",65000000.0,high,,,,,2026-01-24,NaT,Lagos
904,2-bedroom Apartment,flat/apartment,"ikate, lekki, lagos",170000000.0,high,2.0,2.0,85000000.0,,2026-01-23,NaT,Lagos
905,Well Finished 5 Bedroom Duplex Home With Fitted Ac,house,"orchid road, lekki, lagos",330000000.0,high,5.0,5.0,66000000.0,,2026-01-23,NaT,Lagos
906,Elegant 4 Bedroom Semi Detached Duplex,semi detached duplex,"ajah, lagos",140000000.0,high,4.0,5.0,35000000.0,,2026-01-23,NaT,Lagos
907,"3 Bedroom Apartment With Pool,  Gym And Elevator",flat/apartment,"ikate, lekki, lagos",250000000.0,high,3.0,3.0,83333333.33,,2026-01-23,NaT,Lagos
908,4 Bedrooms Terrace Duplex For,house,"ikota, lekki, lagos",130000000.0,high,4.0,4.0,32500000.0,,2026-01-23,NaT,Lagos
909,Spacious And Elegant 3 Bedroom Duplex,house,"ikota, lekki, lagos",125000000.0,high,3.0,,41666666.67,,2026-01-23,NaT,Lagos
910,Spacious Fully Furnished 4 Bedrooms Semi Detached Duplex,semi detached duplex,"ikota, lekki, lagos",140000000.0,high,4.0,4.0,35000000.0,,2026-01-23,NaT,Lagos
911,"2,700sqm Land",land,"kuramo close ,off queens drive, ikoyi, lagos",3600000.0,low,,,,,2026-01-23,NaT,Lagos
912,Spacious And Elegant 4 Bedroom Duplex,house,"ikota, lekki, lagos",135000000.0,high,4.0,5.0,33750000.0,,2026-01-23,NaT,Lagos
913,Luxurious 4 Bedroom Terrace Duplex  On Two Storey With Bq,house,"orchid, lekki phase 2, lekki, lagos",180000000.0,high,4.0,4.0,45000000.0,,2026-01-23,NaT,Lagos
914,Land With Certificate Of Occupancy,land,"granville estate, eleko, ibeju lekki, lagos",43500000.0,mid,,,,,2026-01-23,NaT,Lagos
915,Well Finished Private Compound 4 Bedroom Terrace Duplex,house,"ikota, lekki, lagos",150000000.0,high,4.0,4.0,37500000.0,,2026-01-23,NaT,Lagos
916,3 Bedroom Terrace Duplex,house,"kay farm estate, ogba, ikeja, lagos",1300000003.0,high,3.0,3.0,433333334.3,,2026-01-23,NaT,Lagos
917,"Beautifully Built 2 Bedroom Apartment With Swimming Pool, Gym & Elevator",flat/apartment,"lekki phase 1, lekki, lagos",290000000.0,high,2.0,,145000000.0,,2026-01-23,NaT,Lagos
918,Luxury 4 Bedroom Detached Duplex,detached duplex,"osapa, lekki, lagos",210000000.0,high,4.0,4.0,52500000.0,,2026-01-25,NaT,Lagos
919,Well Finished 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"main chevron, lekki, lagos",245000000.0,high,4.0,,61250000.0,,2026-01-23,NaT,Lagos
920,Brandnew Spacious 4 Bedroom Terrace Duplex,house,"lekki scheme2, ajah, lagos",150000000.0,high,4.0,4.0,37500000.0,,2026-01-24,NaT,Lagos
921,Off-plan Fully Serviced 2 Bedrooms Flat,flat/apartment,"new lagoon district, lekki phase 1, lekki, lagos",230000000.0,high,2.0,2.0,115000000.0,,2025-12-27,NaT,Lagos
922,Brandnew Spacious 4 Bedroom Terrace Duplex,house,"lekki scheme2, ajah, lagos",150000000.0,high,4.0,4.0,37500000.0,,2026-01-24,NaT,Lagos
923,5 Bedroom  Fully Detached Duplex,fully detached,"ikota, lekki, lagos",400000000.0,high,5.0,5.0,80000000.0,,2026-01-23,NaT,Lagos
924,"Nicely Built 3 Bedroom Apartment With Swimming Pool ,gym & Elevator",flat/apartment,"lekki phase 1, lekki, lagos",270000000.0,high,3.0,,90000000.0,,2026-01-23,NaT,Lagos
925,4 Bedroom Detached House With Bq,flat/apartment,"mosunmolu mews, ajannaku street,  awuse estate, opebi, ikeja, lagos",350000000.0,high,4.0,7.0,87500000.0,,2026-01-23,NaT,Lagos
926,Beautiful 4 Bedroom Terrace Duplex With Bq,house,"ikate, lekki, lagos",320000000.0,high,4.0,,80000000.0,,2026-01-23,NaT,Lagos
927,Buy And Build Government Allocation Land,land,"micasa lagos,lekki airport, eleranigbe, ibeju lekki, lagos",19400000.0,mid,,,,,2026-01-23,NaT,Lagos
928,"Ongoing Off Plan 2 Bedroom , Spread Payment",flat/apartment,"aguda, surulere, lagos",110000000.0,high,2.0,,55000000.0,,2026-01-23,NaT,Lagos
929,5 Bedroom Detached Duplex With Swimming Pool & Bq,detached duplex,"off admiralty way, lekki phase 1, lekki, lagos",700000000.0,high,5.0,,140000000.0,,2026-01-23,NaT,Lagos
930,Class Luxury Lifestyle And Comfort 5 Bedroom Detached Duplex,detached duplex,"ikoyi, lagos",3000000000.0,high,5.0,,600000000.0,,2026-01-23,NaT,Lagos
931,Magnificent Spacious 4 Bedroom Detached Luxury Home With Pool & Cinema,flat/apartment,"lekki phase 1, lekki, lagos",1000000000.0,high,4.0,4.0,250000000.0,2025-04-06,2026-01-23,2025-04,Lagos
932,4 Bedroom Terrace Duplex With Bq & Swimming Pool,house,"victoria island (vi), lagos",750000000.0,high,4.0,,187500000.0,,2026-01-23,NaT,Lagos
933,Contemporary 4 Bedroom Detached Duplex With Bq,detached duplex,"2nd toll gate, lekki, lagos",235000000.0,high,4.0,4.0,58750000.0,2025-04-08,2026-01-23,2025-04,Lagos
934,Elegant 5-bedroom Detached Property With Contemporary Charm,flat/apartment,"lekki phase 1, lekki, lagos",1300000000.0,high,5.0,5.0,260000000.0,2026-10-01,2026-01-21,2026-10,Lagos
935,Fully Furnished 4 Bedroom Duplex,house,"lekki, ajah, lagos",240000000.0,high,4.0,4.0,60000000.0,,2026-01-22,NaT,Lagos
936,Newly Built 4 Bedroom,flat/apartment,"ajah, lagos",160000000.0,high,4.0,4.0,40000000.0,,2026-01-22,NaT,Lagos
937,Luxury 4 Bedroom Mansion,flat/apartment,"ajah, lagos",150000000.0,high,4.0,4.0,37500000.0,,2026-01-22,NaT,Lagos
938,2244sqm Functional Fuel Station With 10 Nozzles,land,"ikeja, lagos",1500000000.0,high,,,,,2026-01-23,NaT,Lagos
939,Government Allocation Land,land,"iberekodo, ibeju lekki, lagos",50000000.0,mid,,,,2026-05-01,2026-01-24,2026-05,Lagos
940,Luxury 4 Bedroom Mansion,flat/apartment,"ajah, lagos",150000000.0,high,4.0,4.0,37500000.0,,2026-01-22,NaT,Lagos
941,2244sqm Functional Fuel Station With 10 Nozzles,land,"ikeja, lagos",1500000000.0,high,,,,,2026-01-23,NaT,Lagos
942,"Outstanding Luxury 5 Bedroom Detached Duplex With Gym, Rooftop Terrace",detached duplex,"ikota, lekki, lagos",460000000.0,high,5.0,5.0,92000000.0,2025-08-12,2026-01-21,2025-08,Lagos
943,Decently 4 Bedroom Semi Detached Duplex,semi detached duplex,"chevron, lekki, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-21,NaT,Lagos
944,"350sqm Of Land In A Serene And Secure Estate, Very Prime Location",land,"gra phase 1, magodo, lagos",260000000.0,high,,,,,2026-01-23,NaT,Lagos
945,C Of O Land Already Built Up With Security & Infrastructures,land,"lekki aviation town, ibeju lekki, lagos",60000000.0,high,,,,2025-10-01,2026-01-16,2025-10,Lagos
946,2 Connerpiece Of Land,land,"eko atlantic city, victoria island (vi), lagos",3000000.0,low,,,,,2026-01-23,NaT,Lagos
947,Themost Affordable 4 Bedrooms Terraced Duplex With A Swimming Pool & Gym,terraced duplex,"orchid road, lekki phase 2, lekki, lagos",100000000.0,high,4.0,4.0,25000000.0,2026-04-01,2026-01-16,2026-04,Lagos
948,Exquisite Luxury Spacious 4 Bedroom Fully Detached Duplex With Bq,fully detached,"less than 5 minutes from abraham adesanya, ajah, lagos",200000000.0,high,4.0,4.0,50000000.0,2026-12-01,2026-01-12,2026-12,Lagos
949,Well-built Luxury Spacious 4 Bedroom Semi-detached Duplex With Bq,semi detached duplex,"less than 10 minutes from lekki palm city, lekki, ajah, lagos",140000000.0,high,4.0,4.0,35000000.0,2026-12-01,2026-01-12,2026-12,Lagos
950,Exquisite Luxury 5 Bedrooms Fully Detached Duplex With Bq And Pool,fully detached,"chevron, lekki phase 2, lekki, lagos",450000000.0,high,5.0,5.0,90000000.0,,2026-01-16,NaT,Lagos
951,Luxury Spacious 5 Bedrooms Fully Detached Duplex With Bq And Pool,fully detached,"chevron, lekki phase 2, lekki, lagos",600000000.0,high,5.0,5.0,120000000.0,,2026-01-16,NaT,Lagos
952,"Governor's Consent Land In Best Location, Making Another Atlantic City",land,"off dangote refinery road, ibeju lekki, lagos",25000000.0,mid,,,,2025-05-09,2026-01-16,2025-05,Lagos
953,Luxury 2-bedroom Apartment With Bq.,flat/apartment,"lekki phase 1, lekki, lagos",300000000.0,high,2.0,,150000000.0,,2026-01-23,NaT,Lagos
954,5-bedroom Detached Duplex With Bq & Swimming Pool,detached duplex,"lekki, lagos",800000000.0,high,5.0,5.0,160000000.0,,2026-01-19,NaT,Lagos
955,4-bedroom Terrace Duplex,house,"old ikoyi, ikoyi, lagos",800000000.0,high,4.0,4.0,200000000.0,,2026-01-19,NaT,Lagos
956,Offplan 2 Bedroom Apartment,flat/apartment,"maryland, lagos",90000000.0,high,2.0,2.0,45000000.0,2025-11-08,2026-01-21,2025-11,Lagos
957,"New 6 Bedroom Fully Detached Duplex With Bq,swimming On 900sqm",land,"carlton gate estate ,chevron drive, lekki, lagos",750000000.0,high,6.0,6.0,125000000.0,,2026-01-25,NaT,Lagos
958,Prime Land --victoria Island,land,"victoria island (vi), lagos",3700000000.0,high,,,,,2026-01-20,NaT,Lagos
959,Newly Built 4 Bedroom Fully Detached Duplex In Serene Environment,fully detached,"ogba, ikeja, lagos",220000000.0,high,4.0,5.0,55000000.0,,2026-01-23,NaT,Lagos
960,4-bedroom Semi-detached Duplex With Bq,semi detached duplex,"ologolo, lekki, lagos",250000000.0,high,4.0,4.0,62500000.0,,2026-01-20,NaT,Lagos
961,Enjoy Urban Living In This Smartly Built 3-bedroom Apartment,flat/apartment,"yaba, lagos",160000000.0,high,,3.0,,,2026-01-23,NaT,Lagos
962,New Development Apartment- Ikoyi,flat/apartment,"ikoyi, lagos",700000000.0,high,3.0,3.0,233333333.3,,2026-01-21,NaT,Lagos
963,New Development Apartment,flat/apartment,"ikoyi, lagos",750000000.0,high,2.0,2.0,375000000.0,,2026-01-21,NaT,Lagos
964,New Development Apartment,flat/apartment,"ikoyi, lagos",1000000000.0,high,3.0,3.0,333333333.3,,2026-01-21,NaT,Lagos
965,3-bedroom Apartment With Bq,flat/apartment,"parkview, ikoyi, lagos",650000000.0,high,3.0,3.0,216666666.7,,2026-01-21,NaT,Lagos
966,4-bedroom Terrace With Bq-- Ikoyi,flat/apartment,"ikoyi, lagos",950000000.0,high,4.0,4.0,237500000.0,,2026-01-22,NaT,Lagos
967,4-bedroom Terrace,flat/apartment,"ikoyi, lagos",1000000000.0,high,4.0,4.0,250000000.0,,2026-01-22,NaT,Lagos
968,2 Bedrooms Apartment,flat/apartment,"ikate, lekki, lagos",160000000.0,high,2.0,2.0,80000000.0,,2026-01-23,NaT,Lagos
969,Luxurious 2-bedroom Apartment,flat/apartment,"7a olubumi rotimi street, lekki phase 1, lekki, lagos",295000000.0,high,2.0,2.0,147500000.0,,2026-01-16,NaT,Lagos
970,Building On 3 Floors With A 4 Bedroom Bungalow,bungalow,"akinsanya street, ojodu berger, ojodu, lagos",270000000.0,high,,,,,2026-01-22,NaT,Lagos
971,2300sqm Land Facing The Expressway Fenced Round With Gate,land,"marwa,lekki epe expressway, lekki phase 1, lekki, lagos",3300000000.0,high,,,,,2026-01-25,NaT,Lagos
972,"250sqm Large Double Volume 3 Bedroom Penthouse, Gym, Office, Bq",land,"off admiralty way, lekki phase 1, lekki, lagos",350000000.0,high,3.0,4.0,116666666.7,,2025-12-27,NaT,Lagos
973,Luxury 5-bedrooms House,flat/apartment,"cowrie creek estate, ikate elegushi, lekki, lagos",900000000.0,high,5.0,6.0,180000000.0,2026-12-01,2026-01-23,2026-12,Lagos
974,Luxury 5-bedrooms House,flat/apartment,"hampton bay estate, ikate elegushi, lekki, lagos",750000000.0,high,5.0,6.0,150000000.0,2026-12-01,2026-01-23,2026-12,Lagos
975,Luxury Five Bedroom House,flat/apartment,"ikoyi, lagos",4000000000.0,high,5.0,6.0,800000000.0,2026-05-01,2026-01-23,2026-05,Lagos
976,Very Spacious 4 Bedroom Semi Detached Duplex W/ Bq In A Secured Estate,semi detached duplex,"ikota, lekki, lagos",140000000.0,high,4.0,4.0,35000000.0,,2026-01-23,NaT,Lagos
977,Brand New 4 Bedroom Terracepool Gym Children's Play Ground  Carport Wa,flat/apartment,"oniru, victoria island (vi), lagos",672000000.0,high,4.0,4.0,168000000.0,,2026-01-23,NaT,Lagos
978,Nicely Built 4 Bedroom Fully Detached Duplex,fully detached,"ogba, ikeja, lagos",220000000.0,high,4.0,4.0,55000000.0,,2026-01-23,NaT,Lagos
979,5 Bedroom Detached House With Bq,flat/apartment,"ologolo, lekki, lagos",300000000.0,high,5.0,,60000000.0,,2026-01-24,NaT,Lagos
980,3 Bedroom Apartment,flat/apartment,"yaba, lagos",145000000.0,high,3.0,3.0,48333333.33,,2026-01-23,NaT,Lagos
981,4 Bedroom Detached Duplex With A Bq In An Estate With 24 Hours Light,detached duplex,"sapphire garden estate, awoyaya, ibeju lekki, lagos",320000000.0,high,4.0,4.0,80000000.0,,2026-01-23,NaT,Lagos
982,"Neatly Built 5 Bedroom Fully Detached Duplex With Bq, Cinema, Pool",fully detached,"osapa, lekki, lagos",750000000.0,high,5.0,5.0,150000000.0,,2026-01-23,NaT,Lagos
983,Beautifully Built 5 Bedroom Fully Detached Duplex - Bq- (front Unit),fully detached,"osapa, lekki, lagos",300000000.0,high,5.0,5.0,60000000.0,,2026-01-23,NaT,Lagos
984,Nicely Built Fully Furnished 3 Bedroom Apartment,flat/apartment,"adeniyi jones, ikeja, lagos",299000000.0,high,3.0,3.0,99666666.67,,2026-01-23,NaT,Lagos
985,5 Bedroom Fully Detached With Elevators,fully detached,"ikeja gra, ikeja, lagos",1200000000.0,high,5.0,5.0,240000000.0,,2026-01-23,NaT,Lagos
986,4 Bedroom Fully Detached Duplex,fully detached,"fagba, agege, lagos",220000000.0,high,4.0,4.0,55000000.0,,2026-01-23,NaT,Lagos
987,3-bedroom Penthouses,flat/apartment,"lekki phase 1, lekki, lagos",350000000.0,high,3.0,3.0,116666666.7,,2026-01-23,NaT,Lagos
988,2000sqm Bare Land,land,"lekki phase 1, lekki, lagos",1800000.0,low,,,,,2026-01-23,NaT,Lagos
989,2 Bedroom Flats 24/7 Power Supply,flat/apartment,"off freedom way, lekki phase 1, lekki, lagos",240000000.0,high,2.0,,120000000.0,,2026-01-23,NaT,Lagos
990,"1,797sqm Corner Piece* Off Durosimmi Etti Street Lekki 1",land,"off durotomi etti, lekki phase 1, lekki, lagos",1800000.0,low,,,,,2026-01-23,NaT,Lagos
991,3 Bedroom Apartment,flat/apartment,"ogba, ikeja, lagos",130000000.0,high,3.0,3.0,43333333.33,,2026-01-23,NaT,Lagos
992,Elegant Well-finished 4 Bedroom Semi-detached Duplex With Big Rooms.,semi detached duplex,"aqua view estate, ogudu, lagos",280000000.0,high,4.0,4.0,70000000.0,,2026-01-11,NaT,Lagos
993,Luxury 2 Bedrooms Available,flat/apartment,"20 ozumba mbadiwe, victoria island (vi), lagos",620000000.0,high,2.0,2.0,310000000.0,,2026-01-19,NaT,Lagos
994,Luxury 3 Bedroom Flats With A Water View,flat/apartment,"ahmadu bello way, new coastal road, victoria island (vi), lagos",400000000.0,high,3.0,3.0,133333333.3,2025-08-07,2025-12-02,2025-08,Lagos
995,Luxury 1 Bedroom With Excellent Facilities,flat/apartment,"ozumba mbadiwe, victoria island (vi), lagos",520000000.0,high,1.0,1.0,520000000.0,,2026-01-19,NaT,Lagos
996,Spacious Sparking 4 Bedrom Duplex With Bq With Pool Gym Children Pg,house,"orchid road lekki before road about, lekki, lagos",170000000.0,high,4.0,4.0,42500000.0,,2026-01-25,NaT,Lagos
997,Luxury 5 Bedroom Fully Detached Duplex On Two Floors,fully detached,"chevron, lekki, lagos",700000000.0,high,5.0,,140000000.0,,2026-01-25,NaT,Lagos
998,Well Designed 5bedroom,flat/apartment,"orchid, lekki, lagos",650000000.0,high,5.0,5.0,130000000.0,,2026-01-25,NaT,Lagos
999,Majestic 5-bedroom Duplex With Swimming Pool In Chevron Lekki,house,"secured estate ã¢â€â“ enjoy 24/7 security, serene roads, chevron lekki, lekki, lagos",450000000.0,high,5.0,,90000000.0,,2026-01-25,NaT,Lagos
1000,"811 Sqm Cowrie Creek Estate, Ikate, Lekki, Lagos",land,"cowrie creek estate, ikate, lekki, lagos, ikate, lekki, lagos",950000000.0,high,,,,,2026-01-25,NaT,Lagos
1001,"795 Sqm Cowrie Creek Estate, Ikate, Lekki, Lagos",land,"cowrie creek estate, ikate, lekki, lagos, ikate, lekki, lagos",850000000.0,high,,,,,2026-01-25,NaT,Lagos
